c,min_f,max_f
-30,-23,-21
-29,-21,-19
-28,-19,-18
-27,-18,-16
-26,-16,-14
-25,-14,-12
-24,-12,-10
-23,-10,-9
-22,-8,-7
-21,-7,-5
-20,-5,-3
-19,-3,-1
-18,-1,0
-17,0,2
-16,2,4
-15,4,6
-14,6,8
-13,8,9
-12,10,11
-11,11,13
-10,13,15
-9,15,17
-8,17,18
-7,18,20
-6,20,22
-5,22,24
-4,24,26
-3,26,27
-2,28,29
-1,29,31
0,31,33
1,33,35
2,35,36
3,36,38
4,38,40
5,40,42
6,42,44
7,44,45
8,46,47
9,47,49
10,49,51
11,51,53
12,53,54
13,54,56
14,56,58
15,58,60
16,60,62
17,62,63
18,64,65
19,65,67
20,67,69
21,69,71
22,71,72
23,72,74
24,74,76
25,76,78
26,78,80
27,80,81
28,82,83
29,83,85
30,85,87
31,87,89
32,89,90
33,90,92
34,92,94
35,94,96
36,96,98
37,98,99
38,100,101
39,101,103
40,103,105
